date_key,date,year,month,day,is_month_start
20251101,2025-11-01,2025,11,1,True
20251102,2025-11-02,2025,11,2,False
20251103,2025-11-03,2025,11,3,False
20251104,2025-11-04,2025,11,4,False
20251105,2025-11-05,2025,11,5,False
20251106,2025-11-06,2025,11,6,False
20251107,2025-11-07,2025,11,7,False
20251108,2025-11-08,2025,11,8,False
20251109,2025-11-09,2025,11,9,False
20251110,2025-11-10,2025,11,10,False
20251111,2025-11-11,2025,11,11,False
20251112,2025-11-12,2025,11,12,False
20251113,2025-11-13,2025,11,13,False
20251114,2025-11-14,2025,11,14,False
20251115,2025-11-15,2025,11,15,False
20251116,2025-11-16,2025,11,16,False
20251117,2025-11-17,2025,11,17,False
20251118,2025-11-18,2025,11,18,False
20251119,2025-11-19,2025,11,19,False
20251120,2025-11-20,2025,11,20,False
20251121,2025-11-21,2025,11,21,False
20251122,2025-11-22,2025,11,22,False
20251123,2025-11-23,2025,11,23,False
20251124,2025-11-24,2025,11,24,False
20251125,2025-11-25,2025,11,25,False
20251126,2025-11-26,2025,11,26,False
20251127,2025-11-27,2025,11,27,False
20251128,2025-11-28,2025,11,28,False
20251129,2025-11-29,2025,11,29,False
20251130,2025-11-30,2025,11,30,False
